Filename,Type (Download or Upload),File Size (MB),Response Time (s),Transfer Time (s),Transfer Rate (MB/s),Date
test.wav,Download,0.00,0.00,0.07,0.00,2024-11-28 19:15:22.684051
test.wav,Download,0.00,0.00,0.07,0.00,2024-11-28 19:15:41.956592
bigfile.zip,Download,0.00,0.00,2.01,0.00,2024-11-28 19:20:08.827612
General Auto Dealership Pedro Seixas.mp4,Upload,621.27,0.00,4.59,141.84,2024-11-28 20:35:54.124875
General Auto Dealership Pedro Seixas.mp4,Download,0.00,0.00,4.10,0.00,2024-11-28 20:36:53.179357
General Auto Dealership Pedro Seixas.mp4,Download,0.00,0.00,3.86,0.00,2024-11-28 20:40:15.349117
General Auto Dealership Pedro Seixas.mp4,Download,0.00,0.00,3.91,0.00,2024-11-28 20:42:16.203325
README.md,Upload,0.00,0.00,0.00,0.01,2024-11-29 12:05:56.032607
download (1).jpeg,Upload,0.01,0.02,0.00,110.70,2024-12-01 10:22:47.207362
Ellipsis,2024-12-01 10:22:50.576408
LICENSE,Upload,0.00,0.00,0.00,43.78,2024-12-01 18:24:00.581936
Ellipsis,2024-12-01 18:24:03.867083
LICENSE,Upload,0.00,5.17,0.00,31.53,2024-12-01 18:26:06.643976
Ellipsis,2024-12-01 18:26:08.795111
download.jpeg,Upload,0.01,0.00,0.00,156.69,2024-12-01 18:50:20.525641
Ellipsis,2024-12-01 18:50:23.580195
test.png,Download,0.00,0.00,0.01,0.00,2024-12-01 19:03:30.655807
test.txt,Download,0.00,0.00,0.00,0.00,2024-12-01 19:06:44.388035
test.txt,Download,0.00,0.00,0.00,0.00,2024-12-01 19:27:23.819007
bigfile.zip,Download,0.00,0.00,2.79,0.00,2024-12-01 19:32:51.374696
test_again.txt,Upload,0.00,0.00,0.00,0.11,2024-12-01 19:33:59.734507
Ellipsis,2024-12-01 19:34:01.643265
README.md,Download,0.00,0.00,0.00,0.00,2024-12-01 20:09:30.499508
image0.jpg,Download,0.00,0.00,0.00,0.00,2024-12-01 20:35:48.430995
cow_skull.png,Download,0.00,0.00,0.00,0.00,2024-12-02 12:17:38.601770
hello.txt,Download,0.00,0.00,0.00,0.00,2024-12-02 12:21:09.684010
image0.jpg,Download,0.00,0.03,0.00,0.00,2024-12-02 15:42:14.466400
README.md,Upload,0.00,0.03,0.00,0.77,2024-12-02 15:42:46.506995
Ellipsis,2024-12-02 15:42:48.292230
bigfile.zip,Download,0.00,0.00,2.57,0.00,2024-12-02 16:08:37.323109
test.txt,Download,0.00,0.00,0.00,0.00,2024-12-02 16:09:02.524968
bigfile.zip,Download,0.00,0.00,2.73,0.00,2024-12-02 16:09:13.664758
README.md,Upload,0.00,0.00,0.00,0.57,2024-12-02 16:09:50.513216
Ellipsis,2024-12-02 16:09:54.020197
